"gx" "gy" 
"AGROIN" 477.86 477.27
"MESUNA" 421.81 398.24
"HUMBLA" 479.91 69.42
"HUMBLA" 205.3 346.94
"AGROIN" 392.93 357.53
"MASTTE" 323.66 79.5
"AGROHO" 227.25 19.72
"UNIDEN" 92.6 166.17
"SHORTR" 12 371.82
"HUMBLA" 293.67 122.35
"PALAPE" 420.08 334.8
"MESUNA" 177.94 352.64
"MYRIDA" 45.18 237.21
"MESUNA" 439.04 241.92
"PSYCNI" 67.04 463.36
"SHORWO" 22.89 486.67
"HUMBLA" 440.69 345.09
"AGROHO" 35.55 90.77
"NARGMA" 249.28 15.22
"MYRIDA" 486.14 362.14
"MASTTE" 171.82 388.63
"CRYPWI" 247.08 480.58
"PSYCNI" 53.04 163.1
"HUMBLA" 19.49 84.66
"MESUNA" 287.41 35.89
"NOTHBE" 319.44 137.8
"AGROIN" 123.24 339.36
"HUMBLA" 117.35 177.52
"UNIDEN" 376.4 154.33
"SEMEWA" 17.5 434.3
"HUMBLA" 76.38 105.54
"SHORDI" 452.68 445.65
"ALLOZE" 135.58 144.39
"SYZYSP" 471.64 63.17
"GARCMO" 423.8 6.06
"MALLFU" 248 209.8
"MEMERO" 437.7 316.92
"GLOCAC" 101.19 334.14
"CALOBR" 241.81 286.64
"AGROIN" 434.91 399.73
"HUMBLA" 373.39 197.2
"GARCHE" 133.75 173.63
"MESUFE" 357.05 83.52
"MESUNA" 448.04 131.7
"MESUFE" 444.86 242.33
"MEMERO" 480.09 46.7
"XYLOCH" 262.5 338.06
"APAMSI" 177.18 199.44
"MESUNA" 427.83 312.6
"GAERRO" 103.52 241.18
"HUMBLA" 383.31 19.58
"WALSPI" 326.71 489.8
"MESUFE" 266.67 87.6
"MYRIDA" 34.95 77.26
"CULLCE" 353.72 300.61
"SHORWO" 13.86 486.01
"PAVEIN" 179.51 147.69
"SHORAF" 360.41 290.49
"PALATH" 372.73 110
"CULLCE" 189.65 74.57
"SYZYSY" 123.69 471.54
"HUMBLA" 198.77 316.36
"HOPEJU" 214.05 0.5
"MEMEC_" 481.71 310.05
"AGROIN" 273.49 43.9
"HUMBLA" 180.93 382.72
"SHORTR" 125.48 279.03
"IXORJU" 316.93 50.97
"HUMBLA" 385.9 111.64
"UROPEL" 135.58 252.84
"SEMESU" 147.94 438.85
"HUMBLA" 473.17 424.15
"AGROIN" 356.89 122.95
"SYZYMA" 98.47 6.95
"HYDNOC" 209.32 314.55
"CULLRO" 286.82 179.8
"HUMBLA" 337.91 379.76
"GOMPSE" 42.41 272.67
"HUMBLA" 403.58 93.59
"GARCHE" 113.66 470.59
"AGROHO" 34.63 70.49
"HUMBLA" 442.55 306.7
"SHORAF" 427.19 53.82
"GAERVA" 105 425
"SEMEAC" 91.32 156.16
"HOPEJU" 410.78 50
"AGROHO" 373.83 36.89
"SCHUCA" 318.15 481.73
"HUMBLA" 166.4 327.35
"CULLCE" 336.77 316.86
"GONIHO" 219.28 39.18
