tag,mnem
1,AGROIN
2,MESUNA
3,HUMBLA
4,HUMBLA
5,AGROIN
6,MASTTE
7,AGROHO
8,UNIDEN
9,SHORTR
10,HUMBLA
11,PALAPE
12,MESUNA
13,MYRIDA
14,MESUNA
15,PSYCNI
16,SHORWO
17,HUMBLA
18,AGROHO
19,NARGMA
20,MYRIDA
21,MASTTE
22,CRYPWI
23,PSYCNI
24,HUMBLA
25,MESUNA
26,NOTHBE
27,AGROIN
28,HUMBLA
29,UNIDEN
30,SEMEWA
31,HUMBLA
32,SHORDI
33,ALLOZE
34,SYZYSP
35,GARCMO
36,MALLFU
37,MEMERO
38,GLOCAC
39,CALOBR
40,AGROIN
41,HUMBLA
42,GARCHE
43,MESUFE
44,MESUNA
45,MESUFE
46,MEMERO
47,XYLOCH
48,APAMSI
49,MESUNA
50,GAERRO
51,HUMBLA
52,WALSPI
53,MESUFE
54,MYRIDA
55,CULLCE
56,SHORWO
57,PAVEIN
58,SHORAF
59,PALATH
60,CULLCE
61,SYZYSY
62,HUMBLA
63,HOPEJU
64,MEMEC_
65,AGROIN
66,HUMBLA
67,SHORTR
68,IXORJU
69,HUMBLA
70,UROPEL
71,SEMESU
72,HUMBLA
73,AGROIN
74,SYZYMA
75,HYDNOC
76,CULLRO
77,HUMBLA
78,GOMPSE
79,HUMBLA
80,GARCHE
81,AGROHO
82,HUMBLA
83,SHORAF
84,GAERVA
85,SEMEAC
86,HOPEJU
87,AGROHO
88,SCHUCA
89,HUMBLA
90,CULLCE
91,GONIHO
92,ANISCI
93,UROPEL
94,HUMBLA
95,MESUFE
96,CALOTH
97,GARCHE
98,SHORST
99,DIOSAL
100,SYZYMA
101,AGROHO
102,PSYCNI
103,AGROIN
104,UNIDEN
105,HUMBLA
106,MESUNA
107,AGROIN
108,GARCHE
109,AGROHO
110,TRICER
111,AGROHO
112,SEMEGA
113,IXORJU
114,MEMEAR
115,AGROIN
116,DIOSQU
117,SYZYNE
118,SYZYMA
119,SHORDI
120,SYZYNE
121,HUMBLA
122,HUMBLA
123,SYZYNE
124,SHORME
125,GARCHE
126,HUMBLA
127,MESUNA
128,SHORWO
129,AGROHO
130,PSYCDU
131,PSYCDU
132,SHORDI
133,AGROHO
134,AGROIN
135,UNIDEN
136,CLEIPA
137,PSYCNI
138,GAERRO
139,PSYCNI
140,HOPEJU
141,MESUNA
142,GARCHE
143,UNIDEN
144,AGROIN
145,HUMBLA
146,AGROIN
147,MESUNA
148,SYZYWI
149,HUMBLA
150,MESUNA
151,UNIDEN
152,PALATH
153,UROPEL
154,ALLOZE
155,HUMBLA
156,HUMBLA
157,SHORCR
158,AGROHO
159,UROPEL
160,CALOBR
161,PALACA
162,ANISCI
163,PSYCNI
164,SEMESU
165,AGROHO
166,SHORWO
167,HOPEDI
168,NOTHBE
169,AXINZE
170,SHORST
171,CINNCA
172,MESUNA
173,CULLRO
174,HUMBLA
175,SCHUCA
176,UROPEL
177,SCHUCA
178,GARCMO
179,HUMBLA
180,UNIDEN
181,GOMPSE
182,UNIDEN
183,PALATH
184,AGROIN
185,PSYCDU
186,PSYCDU
187,SHORWO
188,SHORWO
189,SHORAF
190,SHORWO
191,XYLOCH
192,SEMESU
193,HUMBLA
194,MESUFE
195,CHAECA
196,PSYCDU
197,HOPEJU
198,GOMPTE
199,AGROIN
200,SHORTR
201,HUMBLA
202,HUMBLA
203,SHORDI
204,AGROIN
205,SHORWO
206,SEMEWA
207,ISONLA
208,SHORCR
209,GARCSP
210,SHORAF
211,CRYPWI
212,HUMBLA
213,HUMBLA
214,SHORCR
215,SHORST
216,GARCHE
217,AGROIN
218,PUTRRO
219,PSYCNI
220,SEMESU
221,HUMBLA
222,GARCHE
223,SHORTR
224,HUMBLA
225,AGROIN
226,AGROHO
227,SEMEAC
228,MESUFE
229,HUMBLA
230,HUMBLA
231,AGROIN
232,AGROIN
233,MESUNA
234,AGROHO
235,MESUNA
236,MESUFE
237,HUMBLA
238,STRONA
239,MADHFU
240,GARCHE
241,SHORWO
242,AGROIN
243,HUMBLA
244,GARCHE
245,HUMBLA
246,MESUNA
247,UNIDEN
248,SYZYNE
249,PALACA
250,MESUNA
251,UNIDEN
252,CULLRO
253,MESUFE
254,GLOCAC
255,HUMBLA
256,UNIDEN
257,GARCHE
258,PRISTE
259,SHORDI
260,SHORCR
261,PALACA
262,AGROIN
263,GARCHE
264,SHORTR
265,CULLCE
266,ERYTOB
267,SHORCR
268,AGROIN
269,PSYCDU
270,UNIDEN
271,SCHUCA
272,UNIDEN
273,CHAECA
274,SHORWO
275,SHORAF
276,AGROIN
277,CRYPWI
278,AGROHO
279,SHORDI
280,HUMBLA
281,MESUNA
282,NARGMA
283,CULLRO
284,AGROIN
285,PSYCNI
286,UNIDEN
287,UNIDEN
288,AGROHO
289,SHORAF
290,CULLCE
291,HUMBLA
292,AGROIN
293,NOTHBE
294,AGROIN
295,SHORST
296,GAERVA
297,HUMBLA
298,SHORDI
299,SHORDI
300,GAERVA
301,SHORCR
302,HUMBLA
303,AGROIN
304,DESMZE
305,SHORDI
306,HUMBLA
307,SCHUCA
308,HYDNOC
309,ISONLA
310,XYLOCH
311,AGROHO
312,SYZYLI
313,SYMPCU
314,SYMPCO
315,HUMBLA
316,AGROIN
317,CALOTR
318,MANGZE
319,SHORAF
320,AGROIN
321,CHAECO
322,SHORWO
323,PSYCNI
324,CULLCE
325,UNIDEN
326,SYZYWI
327,DESMZE
328,MESUNA
329,AGROIN
330,SHORDI
331,SHORDI
332,SHORME
333,GARCHE
334,SEMEGA
335,NOTHBE
336,GLENUN
337,GARCHE
338,UNIDEN
339,GAERRO
340,SHORME
341,MESUNA
342,MESUFE
343,PSYCNI
344,CALOTH
345,AGROIN
346,GOMPSE
347,PSYCNI
348,XYLOCH
349,LITSLO
350,AGROHO
351,GAERVA
352,SYZYNE
353,SHORDI
354,GARCHE
355,LITSLO
356,SHORCR
357,HUMBLA
358,HUMBLA
359,UNIDEN
360,BHESCE
361,PALACA
362,CULLCE
363,ANISCI
364,SHORAF
365,UROPEL
366,MESUNA
367,SHORAF
368,CHAECO
369,BHESCE
370,MESUFE
371,GONIHO
372,SHORWO
373,URANAP
374,HUMBLA
375,CULLRO
376,LASIOB
377,SHORME
378,AGROIN
379,MESUFE
380,AGROIN
381,HUMBLA
382,GARCHE
383,SHORCR
384,SHORDI
385,MESUNA
386,SYZYWI
387,GLENUN
388,CULLCE
389,PSYCNI
390,GLOCAC
391,PALATH
392,HUMBLA
393,CULLRO
394,CULLRO
395,AGROHO
396,AGROIN
397,HUMBLA
398,SHORDI
399,AGROIN
400,GLENUN
401,DILLRE
402,UNIDEN
403,MASTTE
404,PALACA
405,AGROHO
406,AGROIN
407,LITSLO
408,MESUNA
409,CULLRO
410,XYLOCH
411,MASTTE
412,HUMBLA
413,GARCHE
414,MESUNA
415,MYRIDA
416,PSYCNI
417,CARACA
418,HYDNOC
419,AGROIN
420,MESUNA
421,AGROIN
422,PSYCNI
423,MESUNA
424,CALOTH
425,AGROIN
426,SEMEGA
427,AGROIN
428,MESUNA
429,CULLRO
430,GAERVA
431,PALAPE
432,MESUFE
433,SHORAF
434,MESUNA
435,GARCMO
436,SCHUCA
437,SYZYMA
438,AGROHO
439,MYRIDA
440,AGROIN
441,SHORTR
442,MESUNA
443,SHORTR
444,MESUNA
445,SHORME
446,GARCHE
447,PALATH
448,PSYCNI
449,SHORDI
450,SYZYLI
451,CALOTH
452,AGROIN
453,BHESCE
454,ANISCI
455,SEMEGA
456,MASTTE
457,APAMSI
458,PSYCNI
459,SCHUCA
460,GARCHE
461,MESUFE
462,GARCHE
463,SHORCR
464,HUMBLA
465,GARCHE
466,SCHUCA
467,AGROIN
468,HUMBLA
469,SEMEWA
470,AGROHO
471,SHORWO
472,MESUNA
473,GAERRO
474,AGROHO
475,MESUNA
476,AGROHO
477,GLOCAC
478,SHORCR
479,MYRIDA
480,XYLOCH
481,MEMEAR
482,GAERVA
483,HUMBLA
484,SYZYOP
485,PALATH
486,LASIOB
487,UROPEL
488,AGROIN
489,MESUFE
490,MESUNA
491,MESUFE
492,SCHUCA
493,POMETO
494,MESUFE
495,GOMPSE
496,DIOSAC
497,MASTTE
498,DILLRE
499,SHORCR
500,AGROIN
501,HUMBLA
502,SEMEGA
503,PSYCNI
504,UROPEL
505,HUMBLA
506,GARCHE
507,HUMBLA
508,HUMBLA
509,CHAECO
510,AGROIN
511,ANISCI
512,SHORWO
513,UNIDEN
514,GAERVA
515,MESUNA
516,PALATH
517,SEMEWA
518,SYMPCO
519,GARCHE
520,UNIDEN
521,ANISCI
522,HYDNOC
523,MYRIDA
524,PSYCNI
525,TRICER
526,HUMBLA
527,CULLRO
528,UROPEL
529,MESUNA
530,MEMEAR
531,GARCHE
532,GARCHE
533,GLOCAC
534,MESUNA
535,SEMEWA
536,DILLRE
537,SYZYAQ
538,PALACA
539,HUMBLA
540,SHORAF
541,SHORAF
542,MESUFE
543,FICUHI
544,PSYCNI
545,EURYAC
546,AGROIN
547,DIOSHI
548,MESUFE
549,SHORAF
550,NARGMA
551,PALAPE
552,SHORCR
553,MESUNA
554,SHORME
555,SHORDI
556,GAERRO
557,MESUFE
558,MESUNA
559,HUMBLA
560,AGROHO
561,HUMBLA
562,PALAPE
563,MESUNA
564,AGROIN
565,UNIDEN
566,HUMBLA
567,SYZYSP
568,UNIDEN
569,UNIDEN
570,UNIDEN
571,GARCHE
572,MESUNA
573,SEMEWA
574,GARCMO
575,HUMBLA
576,GLENUN
577,HUMBLA
578,CINNCA
579,MESUNA
580,TRICER
581,GLOCAC
582,SEMEWA
583,PALACA
584,MYRIDA
585,AGROIN
586,HUMBLA
587,PALAPE
588,MESUNA
589,GARCHE
590,SHORAF
591,AGROHO
592,HUMBLA
593,AGROIN
594,UNIDEN
595,SHORDI
596,AGROIN
597,AGROIN
598,MESUNA
599,PALACA
600,SEMEGA
601,ELAESU
602,SHORDI
603,PAVEIN
604,SYZYWI
605,AGROIN
606,MESUFE
607,MESUNA
608,GAERVA
609,SHORCR
610,MYRIDA
611,SHORDI
612,UNIDEN
613,ANISCI
614,LASIOB
615,SYZYSY
616,CALOTH
617,HUMBLA
618,HUMBLA
619,HUMBLA
620,MASTTE
621,APAMSI
622,MYRIDA
623,MASTTE
624,SYZYNE
625,CALOBR
626,SHORWO
627,GARCHE
628,MANGZE
629,GAERVA
630,SHORCR
631,CINNDU
632,CULLRO
633,PALACA
634,MESUNA
635,PSYCNI
636,CULLCE
637,MEMERO
638,AGROIN
639,HUMBLA
640,MANGZE
641,CINNCA
642,SHORME
643,XYLOCH
644,AGROIN
645,MESUFE
646,LEEAIN
647,AGROIN
648,SYZYOP
649,AGROHO
650,MYRIDA
651,GAERRO
652,AGROIN
653,AGROHO
654,HUMBLA
655,MESUFE
656,MESUFE
657,CHAECO
658,HYDNOC
659,GARCHE
660,AGROIN
661,SYZYWI
662,GARCHE
663,SHORDI
664,SHORDI
665,NARGMA
666,PSYCNI
667,AGLAAP
668,ANTIPY
669,MEMERO
670,GARCHE
671,GARCHE
672,HUMBLA
673,CULLCE
674,HUMBLA
675,APAMSI
676,PALACA
677,ANISCI
678,CULLCE
679,HUMBLA
680,SHORME
681,HUMBLA
682,SEMEGA
683,UNIDEN
684,AGROIN
685,AGROIN
686,PSYCNI
687,UNIDEN
688,PALACA
689,PALAPE
690,MESUNA
691,HUMBLA
692,SYZYMA
693,MESUNA
694,GARCHE
695,HUMBLA
696,UROPEL
697,MEMERO
698,AGROHO
699,AGROIN
700,GARCHE
701,GARCHE
702,SEMEWA
703,MESUNA
704,HUMBLA
705,ALLOZE
706,SHORWO
707,AGROHO
708,URANAP
709,SHORDI
710,MESUNA
711,UNIDEN
712,AGROIN
713,MESUNA
714,CINNCA
715,CARACA
716,HUMBLA
717,HUMBLA
718,GAERVA
719,SHORWO
